canonical_sku,brand,category_path,title,attribute_tokens,first_available_date
B09NQJFRW6,Saucony,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Athletic"",""Running"",""Road Running""]",Saucony Men's Kinvara 13 Running Shoe,,"February 17, 2022"
B0074TRKFI,Kishigo,"[""Tools & Home Improvement"",""Safety & Security"",""Personal Protective Equipment"",""Protective Workwear"",""Safety Apparel"",""Vests""]","Kishigo Premium Black Series Heavy Duty Unisex Reflective Safety Vest 1514, ANSI Type R / Class 2 Compliant, 6 Pockets - Pencil & Radio Pockets, Reflective Silver Lining & Black Trim (Orange, XL)",,"September 18, 2012"
B07V5LK5J3,TWINSLUXES,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Outdoor Lighting"",""Post Lights""]","TWINSLUXES Solar Post Cap Lights Outdoor - Waterproof LED Fence Post Solar Lights for 3.5x3.5/4x4/5x5 Wood Posts in Patio, Deck or Garden Decoration 4 Pack",waterproof|led,"July 10, 2019"
B00080QHMM,Accutire,"[""Automotive"",""Tools & Equipment"",""Tire & Wheel Tools"",""Tire Repair Tools""]","Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, bar, kPa, kg/cm2)",led,"March 14, 2005"
B0CNZ6ZV14,SAURA LIFE SCIENCE,"[""Beauty"",""Hair Care"",""Hair Oils""]",SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Hair growth Hair Oil-250ML (2),,25 November 2023
B0BGSF52LR,KASOTT,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Earpads""]","KASOTT Replacement Airpod Pro Ear Tip Premium Memory Foam Earbud Tips, Perfect Noise Reduction, Ultra-Comfort, Anti-Slip Eartips, Fit in The Charging Case (Sizes M, 3 Pairs)",,"September 29, 2022"
B08XMPKJ1L,Bio-Oil,"[""Beauty & Personal Care"",""Skin Care"",""Face"",""Creams & Moisturizers"",""Face Oil""]","Bio-Oil Skincare Body Oil (Natural) Serum for Scars and Stretchmarks, Face and Body Moisturizer Hydrates Skin, with Organic Jojoba Oil and Vitamin E, For All Skin Types, 6.7 oz",,
B0B8CP57MN,crysting,"[""Arts, Crafts & Sewing"",""Organization, Storage & Transport"",""Storage Boxes & Organizers""]","crysting 13 Inch Sewing Box Three Layers, Plastic Craft Organizers and Storage, Multifunction Craft Box/Organizer Box/First Aid Box/Medicine Box/Tool Organizers and Storage with Lids",portable,"July 23, 2021"
B001HWGJAK,RIDGID,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Drill Parts & Accessories"",""Drill Bits"",""Auger Drill Bits""]","Ridgid 62990 T-201 5"" Straight Auger",,"October 9, 2008"
B07PGY6STR,Core 10,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Active"",""Leggings""]",Core 10 Women's All Day Comfort High-Waist Side-Pocket Yoga Legging,,"August 10, 2020"
B09S6R2M8V,Barney Butter,"[""Grocery & Gourmet Food"",""Pantry Staples"",""Nut & Seed Butters"",""Almond Butter""]","Barney Butter Bare Smooth Almond Butter, No Added Sugar Or Salt, 0.6 Ounces (Pack Of 12)",,
B0BK8QY1JB,EKSA,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Headphones & Earbuds"",""On-Ear Headphones""]","Trucker Bluetooth Headsets, Wireless Headset with AI Environmental Noise Cancelling & Mute Microphone, Up to 30H Talk Time, 164ft Wireless Range, Bluetooth Over Ear Headphones for PC, Computer, Skype",,"August 19, 2021"
B00LMTKUU8,LOOGU,"[""Women"",""Accessories"",""Scarves & Wraps""]","LOOGU Desert Netting Scarf Tactical Miliary Camo Mesh Scarves for Men and Women Wraps ideal for Wargame, Sports & Other Outdoor Activities",,9 July 2014
B0CN8RQYDG,PULOTE,"[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Plates, Bowls & Cutlery"",""Plates""]","PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and Gold Plastic Plates Include 50PCS Pink Dinner Plates, 50PCS Pink Dessert Plates for Party&Wedding",,"November 14, 2023"
B001D2X9WU,Stahlwille,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Hand Tools"",""Wrenches"",""Socket Wrenches""]","Stahlwille 96410704 Double Ended Ring Wrench Set Corona, 6mm x 7mm to 20mm x 22mm, Shallow Offset, Chrome Alloy Steel, Chrome Plated, No.23/8, 8 pcs",led|steel,"April 12, 2021"
B083S6S7VG,Cell9102,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Battery Packs & Chargers"",""Battery Packs""]","2Packs 18V Battery and Charger Combo for 18-Volt Cordless Tools Battery and P118B Charger, Cell9102 18V Battery Capacity Output 3.0Ah",,"January 13, 2020"
B09YFS3TR9,General Tools,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Hand Tools"",""Knives, Parts & Accessories"",""Knives"",""Utility Knives""]","General Tools 3-Pack Retractable Utility Knife WS-1201, Snap-Off Blade, Lightweight Box Cutter, 9mm, Yellow , Grey",,"April 20, 2022"
B001PT6X8S,DANIEL SMITH,"[""Arts, Crafts & Sewing"",""Painting, Drawing & Art Supplies"",""Painting"",""Paints""]","DANIEL SMITH Extra Fine Watercolor Paint, 15ml Tube, Iridescent Antique Copper, 284640009",,"July 31, 2009"
B09M99SBQ3,NZND,"[""Cell Phones & Accessories"",""Cases, Holsters & Sleeves"",""Basic Cases""]","NZND Case for At&t Motivate 3 (3rd Version)/ Motivate 2 (2nd)/ Cricket Icon 3/ Cricket Splendor with Tempered Glass Screen Protector, Ring Holder/Wrist Strap, Glitter Liquid Cute Case (Pink/Aqua)",,"November 19, 2021"
B07PX6QSH2,Braun,"[""Beauty & Personal Care"",""Shave & Hair Removal"",""Women's"",""Epilators, Groomers & Trimmers"",""Epilators""]","Braun SE5-895 Epilator, Hair Removal Device, Epilator for Women, Includes Shaver and Facial Cleansing Exfoliator Brush Attachments, Waterproof, Cordless and Rechargeable",waterproof,
B0C1HSC43Y,Aqua Select,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Parts & Accessories"",""Slides, Ladders & Diving Boards"",""Pool Ladders""]",Aqua Select Resin Step in a Box White | Ultra Sturdy Steps,,"April 4, 2023"
B003HLZ3IS,Swanson,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Vitamins"",""Multivitamins""]",Swanson Raw Multi-Glandular for Men 60 Capsules,,"‏  ‎ October 25, 2004"
B0040AHYGY,Dingo,"[""Clothing, Shoes & Jewelry"",""Boot Shop"",""Men"",""Fashion"",""Western""]",Dingo Mens Dean Harness Pull On Casual Boots Mid Calf - Black,leather,"September 1, 2006"
B00O85SSK2,Nature's Answer,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Herbal Supplements"",""Echinacea""]",Nature's Answer Echinacea Alcohol Free Extract 1 Fluid Ounce | Promotes Overall Wellness | Natural Immune Booster | Inflammatory Reducer,,"‏  ‎ December 7, 2003"
B0BBFYRJCD,FTL,"[""Tools & Home Improvement"",""Light Bulbs"",""LED Bulbs""]","FTL GU10 Led Bulb 5000K Daylight White Dimmable Spot Light 6W 600LM 50W Halogen Replacement Bulbs for Track Lighting, Ceiling Recessed Lighting, 6-Pack",led,"October 9, 2022"
B0BTNL5FZK,H HESHECEIN,"[""Automotive"",""Lights & Lighting Accessories"",""Accent & Off Road Lighting"",""LED & Neon Lights"",""Neon Accent Lights""]","Car Underglow Lights,4PCs,180 LED RGB 8 Million Colors Music Mode,Car Under Glow Neon Accent Strip Lights,Waterproof Smart LED Exterior Lights Kit for Car, SUV, Truck,with APP Control,DC 12V",waterproof|led,"February 2, 2023"
B076LRJ528,Koolertron,"[""Video Games"",""PC"",""Accessories"",""Gaming Keyboards""]","Koolertron One Handed Programmable Mechanical Keyboard with OEM Gateron Red Switch,All 48 Programmable Keys Tools Keypad,8 Macro Keys, PBT Keycaps.[SMKD72-A]",portable|led,"October 19, 2017"
B0CBLGHG1F,Signature Fitness,"[""Sports & Outdoors"",""Exercise & Fitness"",""Strength Training Equipment"",""Weights & Accessories"",""Dumbbells""]","Signature Fitness Rubber Coated Hex Dumbbell Weight Set and Storage Rack, Multiple Packages",,"July 11, 2023"
B0BWN2DTJD,Art3d,"[""Tools & Home Improvement"",""Paint, Wall Treatments & Supplies"",""Wallpaper & Wallpapering Supplies"",""3D Wall Panels""]","Art3d 4-Piece Wood Slat Acoustic Panels for Stylish Decor and Noise Reduction, 3D Textured Panel for Ceiling and Wall, Walnut",,"February 23, 2023"
B0CY242B8P,FANTPK,"[""Home & Kitchen"",""Home Décor Products"",""Home Décor Accents"",""Wreaths""]",4th of July Door Sign Independence Day Wreath Patriotic Door Decoration Flower US Wooden Sign for Memorial Day Front for Door Decor 12 Inch Outdoor,,
B084ZSPND4,P&G PROFESSIONAL,"[""Health & Household"",""Household Supplies"",""Household Cleaning"",""All-Purpose Cleaners""]","P&G Professional Deep Clean Restroom Cleaner by Comet Professional, Dilute2Go, 4.5 Liter Bottle, Deep-Clean: 4.5 Liters",,"‏  ‎ February 20, 2020"
B089N74ZRN,OLIGHT,"[""Tools & Home Improvement"",""Safety & Security"",""Flashlights"",""Hands Free Flashlights & Headlamps"",""Headlamps""]","OLIGHT Perun Mini LED Headlamp 1000 Lumens Rechargeable, Right Angle Flashlight with Headband, EDC Handheld Flashlight for Camping, Running, Outdoor, Power Outage, Night Fishing, and Riding",led,"June 22, 2020"
B099H8N6MN,Posh Creations,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Bean Bags, Covers & Refills"",""Bean Bags""]","Posh Creations Bean Bag Chair for Kids, Teens, and Adults Includes Removable and Machine Washable Cover, Soft Faux Rabbit Fur - Black, 38in - Large",,"July 14, 2021"
B002WKK86M,In The Swim,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleaning Tools & Chemicals"",""Chemicals & Water Testing Products"",""Chlorine""]",In The Swim Chlorine Neutralizer for Swimming Pools - Quickly Reduces Chlorine Sanitizer Levels - 90% Sodium Thiosulfate - 2.25 Pounds,,
