platform,sold_id,listing_id,canonical_sku,sold_at,transaction_price,shipping_fee,units,seller_type
Amazon,proxy-B09NQJFRW6,B09NQJFRW6,B09NQJFRW6,2023-08-08,57.79,0,178,reseller
Amazon,proxy-B0074TRKFI,B0074TRKFI,B0074TRKFI,2023-08-09,28.5,0,75,reseller
Amazon,proxy-B07V5LK5J3,B07V5LK5J3,B07V5LK5J3,2024-02-04,33.99,0,94,reseller
Amazon,proxy-B00080QHMM,B00080QHMM,B00080QHMM,2024-06-09,1.79500000000000001,0,400,reseller
Amazon,proxy-B0CNZ6ZV14,B0CNZ6ZV14,B0CNZ6ZV14,2024-01-16,799,0,169,reseller
Amazon,proxy-B0BGSF52LR,B0BGSF52LR,B0BGSF52LR,2023-09-10,17.88,0,87,reseller
Amazon,proxy-B08XMPKJ1L,B08XMPKJ1L,B08XMPKJ1L,2024-04-01,24.95,0,1000,reseller
Amazon,proxy-B0B8CP57MN,B0B8CP57MN,B0B8CP57MN,2023-10-14,20.99,0,102,reseller
Amazon,proxy-B001HWGJAK,B001HWGJAK,B001HWGJAK,2023-09-11,25.38,0,44,reseller
Amazon,proxy-B07PGY6STR,B07PGY6STR,B07PGY6STR,2023-08-09,23.92,0,160,reseller
Amazon,proxy-B09S6R2M8V,B09S6R2M8V,B09S6R2M8V,2024-07-09,0,0,100,reseller
Amazon,proxy-B0BK8QY1JB,B0BK8QY1JB,B0BK8QY1JB,2023-09-10,84.99,0,75,reseller
Amazon,proxy-B00LMTKUU8,B00LMTKUU8,B00LMTKUU8,2024-01-15,11.19,0,100,reseller
Amazon,proxy-B0CN8RQYDG,B0CN8RQYDG,B0CN8RQYDG,2024-07-09,4.49900000000000001,0,800,reseller
Amazon,proxy-B001D2X9WU,B001D2X9WU,B001D2X9WU,2023-09-11,141.1,0,34,reseller
Amazon,proxy-B083S6S7VG,B083S6S7VG,B083S6S7VG,2023-09-11,69.99,0,94,reseller
