month,category,demand_index,active_listings,price_realization_rate,channel_roas,hhi,revenue_index
2024-01,camping_gear,69.49,679,0.8724,5.0614,1709.03,112.00
2024-01,car_parts,64.94,604,0.9119,4.5592,2415.82,110.00
2024-01,cigar_accessories,55.08,320,0.8557,4.2401,2000.82,104.00
2024-01,edc,62.38,447,0.9059,4.9489,1504.17,108.00
2024-01,portable_generators,82.56,547,0.9069,6.3232,2866.75,118.00
2024-02,camping_gear,67.50,687,0.8611,5.1981,1679.98,113.30
2024-02,car_parts,64.43,594,0.8973,4.6654,2429.60,110.64
2024-02,cigar_accessories,54.27,346,0.8484,4.0483,1962.47,104.10
2024-02,edc,63.28,468,0.9153,4.8553,1551.38,111.81
2024-02,portable_generators,81.71,558,0.8960,5.6387,2812.54,113.52
2024-03,camping_gear,67.88,691,0.8655,5.0549,1656.08,114.71
2024-03,car_parts,66.35,607,0.9130,4.6914,2410.31,111.09
2024-03,cigar_accessories,55.07,355,0.8724,4.2897,1988.14,105.88
2024-03,edc,61.44,477,0.8963,4.9512,1551.06,115.71
2024-03,portable_generators,74.02,567,0.8636,5.1503,2868.24,103.92
2024-04,camping_gear,75.38,711,0.8925,5.5883,1704.32,120.93
2024-04,car_parts,68.61,607,0.9132,4.7424,2422.70,111.79
2024-04,cigar_accessories,55.48,349,0.8614,4.3581,1981.82,108.18
2024-04,edc,64.93,467,0.9132,4.9499,1565.32,123.70
2024-04,portable_generators,75.36,578,0.8994,5.4658,2869.16,100.93
2024-05,camping_gear,81.75,697,0.8886,5.6414,1705.52,129.07
2024-05,car_parts,67.52,606,0.9012,4.4547,2441.94,108.61
2024-05,cigar_accessories,54.70,358,0.8527,4.0498,1980.25,107.72
2024-05,edc,67.24,473,0.9244,4.9087,1502.29,131.50
2024-05,portable_generators,74.62,562,0.8974,5.5005,2809.89,99.58
2024-06,camping_gear,87.39,708,0.8881,5.9444,1638.29,137.15
2024-06,car_parts,67.38,632,0.8994,4.6960,2421.10,107.76
2024-06,cigar_accessories,55.51,354,0.8582,4.0827,1925.67,108.31
2024-06,edc,68.54,477,0.9116,5.0156,1577.90,138.95
2024-06,portable_generators,77.41,583,0.9029,5.8229,2894.81,97.96
2024-07,camping_gear,89.89,730,0.8745,5.8319,1725.73,140.81
2024-07,car_parts,68.17,639,0.8940,4.5297,2383.14,107.78
