tenant_id,as_of_date,module,factor_id,factor_label,value,source_section
TENANT-FULL-CHAIN,2026-03-15,part1,FAC-CHANNEL-EFFICIENCY,渠道效率因子,0.870800,1.4
TENANT-FULL-CHAIN,2026-03-15,part1,FAC-CHANNEL-RISK,渠道风险因子,0.374900,1.4
TENANT-FULL-CHAIN,2026-03-15,part1,FAC-CUSTOMER-FIT,客户匹配因子,0.476900,1.2
TENANT-FULL-CHAIN,2026-03-15,part1,FAC-DEMAND-STABILITY,需求稳定因子,0.751400,1.1
TENANT-FULL-CHAIN,2026-03-15,part1,FAC-MARKET-ATTRACT,市场吸引力因子,0.776900,1.3
TENANT-FULL-CHAIN,2026-03-15,part1,FAC-PRICE-REALIZATION,价格实现因子,0.559600,1.6
TENANT-FULL-CHAIN,2026-03-15,part2,FAC-COMPETITION-HEADROOM,竞争结构空间因子,0.330500,2.1
TENANT-FULL-CHAIN,2026-03-15,part2,FAC-PRICING-FIT,定价甜区匹配因子,0.849000,2.2
TENANT-FULL-CHAIN,2026-03-15,part2,FAC-SHELF-STABILITY,货架稳定性因子,0.425600,2.6
TENANT-FULL-CHAIN,2026-03-15,part2,FAC-VALUE-ADVANTAGE,价值优势因子,0.883300,2.3
TENANT-FULL-CHAIN,2026-03-15,part2,FAC-VOC-RISK,VOC 风险因子,0.489800,2.5
TENANT-FULL-CHAIN,2026-03-15,part2,FAC-WHITESPACE-DEPTH,白空间深度因子,1.000000,2.4
TENANT-FULL-CHAIN,2026-03-15,part0,FAC-GOVERNANCE-READINESS,治理内核就绪因子,0.939200,0.1-0.8
TENANT-FULL-CHAIN,2026-03-15,part0,FAC-LOCALIZATION-GOVERNANCE,本地化治理因子,0.878400,0.8
TENANT-FULL-CHAIN,2026-03-15,horizontal,FAC-CONTROL-TOWER,横向控制塔因子,0.964800,H1-H3
TENANT-FULL-CHAIN,2026-03-15,horizontal,FAC-AUDIT-TRACEABILITY,审计追溯因子,1.000000,H2
TENANT-FULL-CHAIN,2026-03-15,part3,FAC-SUPPLY-TAIL-RISK,供应链尾部风险因子,0.952600,3.5-3.6
TENANT-FULL-CHAIN,2026-03-15,part3,FAC-SUPPLY-EXECUTION-CONFIDENCE,供应链执行信心因子,0.816700,3.7
TENANT-FULL-CHAIN,2026-03-15,part3,FAC-SUPPLY-FEASIBILITY,供应链可行性因子,0.785700,3.7
TENANT-FULL-CHAIN,2026-03-15,part4,FAC-CHANNEL-FIT,渠道适配因子,1.000000,4.1-4.3
TENANT-FULL-CHAIN,2026-03-15,part4,FAC-EXECUTION-FRICTION,执行摩擦因子,0.209500,4.5-4.6
TENANT-FULL-CHAIN,2026-03-15,part4,FAC-PORTFOLIO-RESILIENCE,组合韧性因子,0.996800,4.5
TENANT-FULL-CHAIN,2026-03-15,part4,FAC-SCALE-READINESS,放量承接因子,0.615800,4.6-4.7
TENANT-FULL-CHAIN,2026-03-15,part4,FAC-TRAFFIC-EFFICIENCY,流量效率因子,0.096300,4.4
TENANT-FULL-CHAIN,2026-03-15,part4,FAC-UNIT-ECONOMICS,单位经济因子,0.774800,4.5
TENANT-FULL-CHAIN,2026-03-15,part5,FAC-CASH-DISCIPLINE,库存现金纪律因子,0.955200,5.5
TENANT-FULL-CHAIN,2026-03-15,part5,FAC-DATA-CONTRACT,数据契约因子,0.825000,5.2
TENANT-FULL-CHAIN,2026-03-15,part5,FAC-EXPERIMENT-CONFIDENCE,实验可信度因子,0.879200,5.6
TENANT-FULL-CHAIN,2026-03-15,part5,FAC-GROWTH-LEVERAGE,增长杠杆因子,0.608100,5.3
TENANT-FULL-CHAIN,2026-03-15,part5,FAC-MARGIN-PROTECTION,利润保护因子,0.700000,5.4
TENANT-FULL-CHAIN,2026-03-15,part5,FAC-OPERATING-HEALTH,经营健康因子,0.651500,5.1
TENANT-FULL-CHAIN,2026-03-15,part5,FAC-SCALE-CONTROL,扩张控制因子,0.523500,5.7
