date,channel,campaign_id,traffic_source,spend,impressions,clicks,attributed_orders,attributed_revenue
2025-09-01,TikTok Shop,PH-LIVE-2025-09-01,livestream,1004.3,4616,1265,43,18260.03
2025-09-02,TikTok Shop,PH-LIVE-2025-09-02,livestream,750.25,9332,1930,37,13641.0
2025-09-03,TikTok Shop,PH-LIVE-2025-09-03,livestream,562.74,8458,1391,32,10231.55
2025-09-04,TikTok Shop,PH-LIVE-2025-09-04,livestream,293.87,10287,1780,17,5343.06
2025-09-05,TikTok Shop,PH-LIVE-2025-09-05,livestream,531.69,4898,1089,37,9667.08
2025-09-06,TikTok Shop,PH-LIVE-2025-09-06,livestream,485.29,3051,354,22,8823.45
2025-09-07,TikTok Shop,PH-LIVE-2025-09-07,livestream,622.06,12650,1885,31,11310.25
2025-09-08,TikTok Shop,PH-LIVE-2025-09-08,livestream,1328.9,5436,968,61,24161.84
2025-09-09,TikTok Shop,PH-LIVE-2025-09-09,livestream,2131.2,2166,444,75,38749.0
2025-09-10,TikTok Shop,PH-LIVE-2025-09-10,livestream,1132.7,3417,731,51,20594.59
2025-09-11,TikTok Shop,PH-LIVE-2025-09-11,livestream,286.17,3484,825,14,5203.0
2025-09-12,TikTok Shop,PH-LIVE-2025-09-12,livestream,508.64,4596,1078,15,9248.01
2025-09-13,TikTok Shop,PH-LIVE-2025-09-13,livestream,596.47,4011,1355,30,10844.83
2025-09-14,TikTok Shop,PH-LIVE-2025-09-14,livestream,877.86,11128,2356,38,15961.06
2025-09-15,TikTok Shop,PH-LIVE-2025-09-15,livestream,942.5,3578,807,62,17136.32
2025-09-16,TikTok Shop,PH-LIVE-2025-09-16,livestream,697.66,10434,1621,44,12684.8
2025-09-17,TikTok Shop,PH-LIVE-2025-09-17,livestream,754.22,10511,1894,33,13713.0
2025-09-18,TikTok Shop,PH-LIVE-2025-09-18,livestream,625.19,7830,1249,24,11367.0
2025-09-19,TikTok Shop,PH-LIVE-2025-09-19,livestream,403.47,7305,1455,20,7335.87
2025-09-20,TikTok Shop,PH-LIVE-2025-09-20,livestream,644.6,7055,807,29,11720.0
2025-09-21,TikTok Shop,PH-LIVE-2025-09-21,livestream,625.9,4308,752,27,11379.97
2025-09-22,TikTok Shop,PH-LIVE-2025-09-22,livestream,510.99,7598,774,28,9290.71
2025-09-23,TikTok Shop,PH-LIVE-2025-09-23,livestream,736.32,10700,2065,31,13387.63
2025-09-24,TikTok Shop,PH-LIVE-2025-09-24,livestream,627.69,3918,538,31,11412.51
2025-09-25,TikTok Shop,PH-LIVE-2025-09-25,livestream,584.32,8891,1441,33,10624.05
2025-09-26,TikTok Shop,PH-LIVE-2025-09-26,livestream,832.06,11308,2172,34,15128.37
2025-09-27,TikTok Shop,PH-LIVE-2025-09-27,livestream,527.28,7504,1227,24,9586.95
2025-09-28,TikTok Shop,PH-LIVE-2025-09-28,livestream,916.25,10526,1674,39,16659.06
2025-09-29,TikTok Shop,PH-LIVE-2025-09-29,livestream,885.45,2409,768,27,16099.14
2025-09-30,TikTok Shop,PH-LIVE-2025-09-30,livestream,1571.18,1845,323,53,28566.85
2025-10-01,TikTok Shop,PH-LIVE-2025-10-01,livestream,731.67,3423,1038,26,13303.15
