date,channel,revenue,contribution_profit,ad_spend,refunds,disputes,inventory_value,operating_status
2025-09-01,TikTok Shop,18260.03,899.98,1004.3,0,0,21657.67,healthy
2025-09-02,TikTok Shop,13641.0,1684.73,750.25,0,0,14660.58,healthy
2025-09-03,TikTok Shop,10231.55,-957.1,562.74,0,0,14327.39,watch
2025-09-04,TikTok Shop,5343.06,267.7,293.87,0,0,6330.7,healthy
2025-09-05,TikTok Shop,9667.08,-2097.63,531.69,0,0,15326.97,watch
2025-09-06,TikTok Shop,8823.45,2080.58,485.29,0,0,7996.68,healthy
2025-09-07,TikTok Shop,11310.25,615.41,622.06,0,0,13327.8,healthy
2025-09-08,TikTok Shop,24161.84,4524.71,1328.9,0,0,23656.85,healthy
2025-09-09,TikTok Shop,38749.0,12557.46,2131.2,0,0,29987.55,healthy
2025-09-10,TikTok Shop,20594.59,4638.05,1132.7,0,0,18992.11,healthy
2025-09-11,TikTok Shop,5203.0,1038.57,286.17,0,0,4997.93,healthy
2025-09-12,TikTok Shop,9248.01,3325.73,508.64,0,0,6663.9,healthy
2025-09-13,TikTok Shop,10844.83,1335.11,596.47,0,0,11661.82,healthy
2025-09-14,TikTok Shop,15961.06,3411.44,877.86,0,0,14993.77,healthy
2025-09-15,TikTok Shop,17136.32,-710.33,942.5,0,0,22657.26,watch
2025-09-16,TikTok Shop,12684.8,-2006.17,697.66,0,0,18992.11,watch
2025-09-17,TikTok Shop,13713.0,3300.11,754.22,0,0,12328.22,healthy
2025-09-18,TikTok Shop,11367.0,2217.99,625.19,0,0,10995.43,healthy
2025-09-19,TikTok Shop,7335.87,1497.4,403.47,0,0,6997.1,healthy
2025-09-20,TikTok Shop,11720.0,2292.38,644.6,0,0,11328.63,healthy
2025-09-21,TikTok Shop,11379.97,1562.49,625.9,0,0,11995.02,healthy
2025-09-22,TikTok Shop,9290.71,696.04,510.99,0,0,10662.24,healthy
2025-09-23,TikTok Shop,13387.63,2582.54,736.32,0,0,12994.6,healthy
2025-09-24,TikTok Shop,11412.51,923.43,627.69,0,0,12994.6,healthy
2025-09-25,TikTok Shop,10624.05,483.27,584.32,0,0,12661.41,healthy
2025-09-26,TikTok Shop,15128.37,5155.41,832.06,0,0,11328.63,healthy
2025-09-27,TikTok Shop,9586.95,1611.27,527.28,0,0,9662.66,healthy
2025-09-28,TikTok Shop,16659.06,3109.24,916.25,0,0,16326.56,healthy
2025-09-29,TikTok Shop,16099.14,6415.12,885.45,0,0,10662.24,healthy
2025-09-30,TikTok Shop,28566.85,10001.96,1571.18,0,0,20991.28,healthy
2025-10-01,TikTok Shop,13303.15,3844.36,731.67,0,0,10995.43,healthy
2025-10-02,TikTok Shop,10928.65,4071.07,601.08,0,0,7663.48,healthy
2025-10-03,TikTok Shop,10866.63,1353.42,597.66,0,0,11661.82,healthy
2025-10-04,TikTok Shop,3704.0,-1997.63,203.72,0,0,7663.48,watch
2025-10-05,TikTok Shop,13646.61,4354.99,750.56,0,0,10662.24,healthy
2025-10-06,TikTok Shop,9105.87,-125.62,500.82,0,0,11661.82,watch
2025-10-07,TikTok Shop,11190.15,2735.83,615.46,0,0,9995.85,healthy
2025-10-08,TikTok Shop,9156.9,1694.28,503.63,0,0,8996.26,healthy
2025-10-09,TikTok Shop,14198.19,6151.1,780.9,0,0,8663.07,healthy
2025-10-10,TikTok Shop,29331.63,7978.82,1613.24,0,0,24989.62,healthy
2025-10-11,TikTok Shop,15342.78,2669.96,843.85,0,0,15326.97,healthy
2025-10-12,TikTok Shop,13194.97,3309.23,725.72,0,0,11661.82,healthy
2025-10-13,TikTok Shop,9375.16,766.98,515.63,0,0,10662.24,healthy
2025-10-14,TikTok Shop,13944.75,3050.52,766.96,0,0,12994.6,healthy
2025-10-15,TikTok Shop,19769.54,4611.39,1087.32,0,0,17992.53,healthy
2025-10-16,TikTok Shop,21093.26,6167.58,1160.13,0,0,17326.14,healthy
2025-10-17,TikTok Shop,8173.26,1090.16,449.53,0,0,8663.07,healthy
2025-10-18,TikTok Shop,15486.79,3901.58,851.77,0,0,13660.99,healthy
2025-10-19,TikTok Shop,21224.49,6055.68,1167.35,0,0,17659.33,healthy
2025-10-20,TikTok Shop,12426.5,5551.4,683.46,0,0,7330.29,healthy
2025-10-21,TikTok Shop,16459.24,1608.61,905.26,0,0,18325.72,healthy
2025-10-23,TikTok Shop,6955.46,1622.12,382.55,0,0,6330.7,healthy
2025-10-24,TikTok Shop,8432.05,2640.33,463.76,0,0,6663.9,healthy
2025-10-25,TikTok Shop,7890.12,2851.49,433.96,0,0,5664.31,healthy
2025-10-26,TikTok Shop,12459.61,5357.08,685.28,0,0,7663.48,healthy
2025-10-27,TikTok Shop,17342.82,10347.5,953.86,0,0,6330.7,healthy
2025-10-28,TikTok Shop,15201.0,6327.07,836.05,0,0,9662.66,healthy
2025-10-29,TikTok Shop,16943.73,5791.79,931.91,0,0,12661.41,healthy
2025-10-30,TikTok Shop,15087.93,5565.7,829.84,0,0,10662.24,healthy
2025-10-31,TikTok Shop,8531.85,2502.02,469.25,0,0,6997.1,healthy
2025-11-01,TikTok Shop,16582.13,4821.66,912.02,0,0,13660.99,healthy
2025-11-02,TikTok Shop,19970.43,7445.71,1098.37,0,0,13994.19,healthy
2025-11-03,TikTok Shop,9695.61,4590.23,533.26,0,0,5331.12,healthy
2025-11-04,TikTok Shop,20734.45,8753.88,1140.39,0,0,12994.6,healthy
2025-11-05,TikTok Shop,11610.52,3311.06,638.58,0,0,9662.66,healthy
2025-11-06,TikTok Shop,11375.25,1780.66,625.64,0,0,11661.82,healthy
2025-11-07,TikTok Shop,17812.11,7187.62,979.67,0,0,11661.82,healthy
2025-11-08,TikTok Shop,20124.95,6242.72,1106.87,0,0,15993.36,healthy
2025-11-09,TikTok Shop,24969.28,9645.56,1373.31,0,0,16992.94,healthy
2025-11-10,TikTok Shop,109697.21,52384.38,6033.35,0,0,59641.9,healthy
2025-11-11,TikTok Shop,265920.51,103200.89,14625.63,0,0,180258.49,healthy
2025-11-12,TikTok Shop,36683.14,13931.96,2017.57,0,0,25322.82,healthy
2025-11-13,TikTok Shop,15922.52,3601.19,875.74,0,0,14660.58,healthy
2025-11-14,TikTok Shop,51003.84,19297.44,2805.21,0,0,35318.67,healthy
2025-11-15,TikTok Shop,68839.97,30281.45,3786.2,0,0,41316.18,healthy
2025-11-16,TikTok Shop,15159.33,3848.64,833.76,0,0,13327.8,healthy
2025-11-17,TikTok Shop,11786.96,4792.06,648.28,0,0,7663.48,healthy
2025-11-18,TikTok Shop,25757.68,9197.17,1416.67,0,0,18658.92,healthy
2025-11-19,TikTok Shop,4860.0,84.06,267.3,0,0,5997.51,healthy
2025-11-20,TikTok Shop,6912.19,-413.4,380.17,0,0,9329.46,watch
2025-11-21,TikTok Shop,8588.73,2105.55,472.38,0,0,7663.48,healthy
2025-11-22,TikTok Shop,24874.0,9121.27,1368.07,0,0,17659.33,healthy
2025-11-23,TikTok Shop,14741.0,5274.28,810.75,0,0,10662.24,healthy
2025-11-24,TikTok Shop,37826.43,14003.81,2080.45,0,0,26655.6,healthy
2025-11-25,TikTok Shop,21425.0,6890.49,1178.38,0,0,16659.75,healthy
2025-11-26,TikTok Shop,13690.0,4169.31,752.95,0,0,10995.43,healthy
2025-11-27,TikTok Shop,8172.75,1089.73,449.5,0,0,8663.07,healthy
2025-11-28,TikTok Shop,71252.18,30086.41,3918.87,0,0,44648.13,healthy
2025-11-29,TikTok Shop,9116.85,2771.29,501.43,0,0,7330.29,healthy
2025-11-30,TikTok Shop,10109.19,3160.59,556.01,0,0,7996.68,healthy
