field_name,field_group,entity_type,data_type,required_flag,enum_flag,validation_rule,version,approved_flag
sku_id,product,sku,string,true,false,regex:^SKU-[0-9]{3}$,v1.2,true
spu_id,product,sku,string,true,false,non_empty,v1.2,true
sku_name,product,sku,string,true,false,non_empty,v1.2,true
launch_date,product,sku,date,false,false,iso8601,v1.1,true
status,product,sku,string,true,true,enum:active|inactive,v1.1,true
brand_id,product,brand,string,true,false,foreign_key:brand,v1.0,true
channel_id,channel,channel,string,true,true,enum:amazon|tiktok|ebay|walmart,v1.1,true
channel_type,channel,channel,string,true,true,enum:marketplace|social|retail|distributor,v1.0,true
list_price,price,sku,float,true,false,range:0-10000,v1.1,true
actual_price,price,sku,float,true,false,range:0-10000,v1.1,true
discount_rate,price,price_metric,float,false,false,range:0-1,v1.0,true
gross_margin_rate,profit,sku,float,true,false,range:0-1,v1.0,true
region_code,geo,region,string,true,true,enum:US-SE|US-NE|US-W|CA-ON,v1.0,true
event_date,time,calendar,date,true,false,iso8601,v1.0,true
is_holiday,time,calendar,boolean,false,true,enum:true|false,v1.0,true
supplier_id,supply,supplier,string,true,false,foreign_key:supplier,v2.0,true
approval_ref,audit,global,string,false,false,nullable,v1.0,true
confidence_grade,audit,global,string,true,true,enum:A|B|C|D,v1.0,true
