month,next_month,selected_categories,strategy_return,benchmark_return,excess_return
2024-04,2024-05,camping_gear|edc,0.0652,0.0169,0.0483
2024-05,2024-06,camping_gear|edc,0.0596,0.0201,0.0395
2024-06,2024-07,camping_gear|edc,0.0352,0.0075,0.0277
2024-07,2024-08,camping_gear|edc,0.0313,0.0244,0.0068
2024-08,2024-09,portable_generators|edc,0.0095,0.0018,0.0077
2024-09,2024-10,portable_generators|edc,-0.0256,0.0044,-0.0301
2024-10,2024-11,car_parts|edc,0.0305,0.0219,0.0086
2024-11,2024-12,edc|cigar_accessories,0.0364,0.0172,0.0193
2024-12,2025-01,edc|portable_generators,0.0085,0.0032,0.0053
2025-01,2025-02,portable_generators|camping_gear,-0.0021,0.0054,-0.0075
2025-02,2025-03,edc|camping_gear,0.0247,0.0028,0.0219
2025-03,2025-04,car_parts|edc,0.0245,0.0115,0.013
2025-04,2025-05,camping_gear|car_parts,0.0275,0.0157,0.0118
2025-05,2025-06,camping_gear|edc,0.0376,0.0078,0.0298
2025-06,2025-07,camping_gear|portable_generators,0.0164,0.0179,-0.0014
2025-07,2025-08,camping_gear|edc,0.0296,0.0242,0.0053
2025-08,2025-09,portable_generators|edc,0.0104,0.0166,-0.0062
2025-09,2025-10,portable_generators|edc,-0.023,0.0036,-0.0266
2025-10,2025-11,edc|car_parts,-0.0019,0.0061,-0.008
2025-11,2025-12,edc|cigar_accessories,0.0407,0.0303,0.0104
