month,next_month,selected_categories,strategy_return,benchmark_return,excess_return
2024-04,2024-05,portable_generators|edc,0.034,0.024,0.01
2024-05,2024-06,portable_generators|camping_gear,0.0383,0.0193,0.019
2024-06,2024-07,camping_gear|portable_generators,0.0559,0.026,0.0299
2024-07,2024-08,portable_generators|camping_gear,0.0612,0.0309,0.0303
2024-08,2024-09,portable_generators|edc,0.0577,0.0285,0.0293
2024-09,2024-10,portable_generators|edc,0.0376,0.0187,0.0189
2024-10,2024-11,edc|portable_generators,0.0545,0.0318,0.0228
2024-11,2024-12,portable_generators|edc,0.0433,0.0298,0.0135
2024-12,2025-01,edc|camping_gear,0.029,0.0251,0.0039
2025-01,2025-02,portable_generators|edc,0.0471,0.0266,0.0205
2025-02,2025-03,portable_generators|edc,0.0447,0.0291,0.0156
2025-03,2025-04,portable_generators|edc,0.0355,0.0333,0.0022
2025-04,2025-05,portable_generators|edc,0.0353,0.0351,0.0002
2025-05,2025-06,camping_gear|portable_generators,0.0553,0.0345,0.0208
2025-06,2025-07,camping_gear|portable_generators,0.0678,0.0422,0.0256
2025-07,2025-08,edc|car_parts,0.0455,0.0472,-0.0017
2025-08,2025-09,edc|portable_generators,0.0736,0.0401,0.0335
2025-09,2025-10,portable_generators|camping_gear,0.0572,0.0416,0.0156
2025-10,2025-11,edc|portable_generators,0.0702,0.0492,0.021
2025-11,2025-12,portable_generators|edc,0.0649,0.0441,0.0207
