month,next_month,selected_categories,strategy_return,benchmark_return,excess_return
2024-04,2024-05,S001_FOB_SEA,0.1401,0.0862,0.0539
2024-05,2024-06,S001_FOB_SEA,0.14,0.0828,0.0571
2024-06,2024-07,S001_FOB_SEA,0.1139,0.0784,0.0355
2024-07,2024-08,S002_DDP_FAST,0.1012,0.0849,0.0163
2024-08,2024-09,S001_FOB_SEA,0.14,0.0809,0.0591
2024-09,2024-10,S001_FOB_SEA,0.1369,0.0856,0.0514
2024-10,2024-11,S001_FOB_SEA,0.133,0.0826,0.0504
2024-11,2024-12,S001_FOB_SEA,0.138,0.0781,0.0599
2024-12,2025-01,S001_FOB_SEA,0.1299,0.0842,0.0458
2025-01,2025-02,S001_FOB_SEA,0.14,0.0811,0.0589
2025-02,2025-03,S001_FOB_SEA,0.14,0.0963,0.0437
2025-03,2025-04,S001_FOB_SEA,0.14,0.0933,0.0467
2025-04,2025-05,S001_FOB_SEA,0.14,0.0962,0.0438
2025-05,2025-06,S001_FOB_SEA,0.1372,0.0923,0.0448
2025-06,2025-07,S001_FOB_SEA,0.1397,0.0829,0.0568
2025-07,2025-08,S001_FOB_SEA,0.14,0.0842,0.0558
2025-08,2025-09,S001_FOB_SEA,0.1384,0.1015,0.0369
2025-09,2025-10,S002_DDP_FAST,0.1223,0.0962,0.0261
2025-10,2025-11,S001_FOB_SEA,0.1321,0.0863,0.0458
2025-11,2025-12,S002_DDP_FAST,0.1059,0.0888,0.0171
