month,channel,contribution_margin_rate,repeat_rate,payback_efficiency,inventory_health,loss_resilience,traffic_efficiency,realized_profit_index
2024-01,Amazon,0.1634,0.1314,0.5979,0.8061,0.7239,0.6878,118.00
2024-01,B2B,0.1905,0.2785,0.8066,0.7316,0.8497,0.4244,115.00
2024-01,DTC,0.1728,0.2258,0.6665,0.7234,0.7703,0.6441,112.00
2024-01,TikTok Shop,0.1524,0.1208,0.7033,0.7090,0.6506,0.7444,110.00
2024-01,Walmart,0.1425,0.1268,0.6439,0.7016,0.7129,0.5509,106.00
2024-02,Amazon,0.1667,0.1507,0.6014,0.7558,0.7192,0.6839,128.93
2024-02,B2B,0.1934,0.2848,0.8244,0.7369,0.8193,0.4169,128.80
2024-02,DTC,0.1788,0.2291,0.6753,0.7118,0.7514,0.6304,123.10
2024-02,TikTok Shop,0.1519,0.1033,0.6914,0.6716,0.6452,0.7891,120.87
2024-02,Walmart,0.1522,0.1180,0.6327,0.7127,0.7031,0.6009,113.18
2024-03,Amazon,0.1666,0.1482,0.6490,0.7559,0.7181,0.6771,143.19
2024-03,B2B,0.1851,0.2732,0.7845,0.6802,0.8266,0.4475,144.23
2024-03,DTC,0.1660,0.2475,0.6827,0.7232,0.7624,0.6548,136.13
2024-03,TikTok Shop,0.1426,0.1172,0.7140,0.7189,0.6507,0.7951,131.16
2024-03,Walmart,0.1590,0.1430,0.6251,0.7049,0.6929,0.5832,122.84
2024-04,Amazon,0.1580,0.1352,0.6169,0.7753,0.7105,0.6700,158.06
2024-04,B2B,0.1876,0.2907,0.8222,0.7072,0.8368,0.4739,161.53
2024-04,DTC,0.1791,0.2504,0.6704,0.7193,0.7810,0.6169,150.87
2024-04,TikTok Shop,0.1574,0.1049,0.7478,0.6759,0.6381,0.7548,143.94
2024-04,Walmart,0.1520,0.1390,0.6569,0.7391,0.7202,0.6160,132.41
2024-05,Amazon,0.1629,0.1568,0.6230,0.7530,0.7408,0.7169,176.80
2024-05,B2B,0.1965,0.2908,0.8360,0.7055,0.8337,0.4518,180.92
2024-05,DTC,0.1659,0.2564,0.6862,0.7584,0.7680,0.6729,168.98
2024-05,TikTok Shop,0.1453,0.1192,0.7207,0.6831,0.6531,0.7804,158.13
2024-05,Walmart,0.1464,0.1256,0.6176,0.7402,0.7109,0.5574,142.29
2024-06,Amazon,0.1735,0.1580,0.6000,0.7791,0.7126,0.6821,191.78
2024-06,B2B,0.2015,0.2746,0.7900,0.6985,0.8434,0.4455,202.63
2024-06,DTC,0.1726,0.2491,0.6998,0.7471,0.7752,0.6762,189.25
2024-06,TikTok Shop,0.1400,0.1303,0.7223,0.7032,0.6582,0.8137,173.40
2024-06,Walmart,0.1623,0.1275,0.6464,0.7449,0.6977,0.6055,155.86
2024-07,Amazon,0.1636,0.1636,0.6059,0.7970,0.7193,0.6838,213.82
2024-07,B2B,0.1885,0.2947,0.8220,0.7366,0.8296,0.4395,226.94
2024-07,DTC,0.1669,0.2408,0.6674,0.7148,0.7484,0.6381,209.13
2024-07,TikTok Shop,0.1424,0.1239,0.7098,0.6788,0.6631,0.8176,189.05
2024-07,Walmart,0.1502,0.1248,0.6287,0.7406,0.7278,0.5717,168.72
2024-08,Amazon,0.1769,0.1522,0.6331,0.7293,0.7169,0.7275,236.23
2024-08,B2B,0.1878,0.2885,0.7993,0.6650,0.8130,0.4770,254.18
2024-08,DTC,0.1797,0.2464,0.6722,0.6926,0.7536,0.6649,234.23
2024-08,TikTok Shop,0.1482,0.1178,0.7141,0.6477,0.6360,0.7536,206.77
2024-08,Walmart,0.1505,0.1462,0.6476,0.6761,0.7205,0.6080,182.11
2024-09,Amazon,0.1688,0.1594,0.5934,0.7551,0.7228,0.7182,257.14
2024-09,B2B,0.1995,0.3055,0.8400,0.6903,0.8236,0.4032,284.68
2024-09,DTC,0.1802,0.2421,0.6937,0.6898,0.7582,0.6692,262.34
2024-09,TikTok Shop,0.1565,0.1341,0.7269,0.6481,0.6554,0.7200,223.33
2024-09,Walmart,0.1524,0.1565,0.6570,0.6908,0.7073,0.5696,195.80
2024-10,Amazon,0.1782,0.1409,0.6011,0.7857,0.7325,0.6688,279.82
2024-10,B2B,0.1984,0.2980,0.8350,0.6909,0.8359,0.4508,318.84
2024-10,DTC,0.1801,0.2590,0.7006,0.7566,0.7522,0.5926,293.42
2024-10,TikTok Shop,0.1526,0.1259,0.7293,0.6879,0.6500,0.7371,243.55
2024-10,Walmart,0.1578,0.1540,0.6593,0.7063,0.7302,0.5908,214.39
2024-11,Amazon,0.1778,0.1474,0.6557,0.7872,0.7221,0.6967,311.04
2024-11,B2B,0.1918,0.2904,0.8300,0.7202,0.8449,0.4264,357.10
2024-11,DTC,0.1754,0.2463,0.7366,0.7626,0.7542,0.6424,328.63
2024-11,TikTok Shop,0.1630,0.1339,0.7302,0.6651,0.6560,0.7706,266.00
2024-11,Walmart,0.1661,0.1431,0.6840,0.7579,0.7050,0.6047,234.73
2024-12,Amazon,0.1797,0.1476,0.6630,0.7643,0.7217,0.7037,343.42
2024-12,B2B,0.1968,0.3099,0.8588,0.7130,0.8302,0.4252,399.95
2024-12,DTC,0.1893,0.2553,0.6959,0.7248,0.7682,0.6110,368.06
2024-12,TikTok Shop,0.1624,0.1340,0.7604,0.6735,0.6432,0.7220,289.19
2024-12,Walmart,0.1627,0.1446,0.6839,0.7161,0.7273,0.6065,253.30
2025-01,Amazon,0.1683,0.1656,0.5944,0.7775,0.7424,0.7297,376.03
2025-01,B2B,0.2114,0.2951,0.8109,0.7393,0.8427,0.4434,447.95
2025-01,DTC,0.1900,0.2550,0.6632,0.7699,0.7664,0.5973,408.97
2025-01,TikTok Shop,0.1565,0.1385,0.6944,0.6849,0.6586,0.7356,316.78
2025-01,Walmart,0.1716,0.1403,0.6379,0.7366,0.7110,0.5423,275.69
2025-02,Amazon,0.1673,0.1525,0.6460,0.8029,0.7373,0.6796,413.70
2025-02,B2B,0.1968,0.2954,0.8254,0.7175,0.8424,0.4163,501.70
2025-02,DTC,0.1752,0.2633,0.6975,0.7353,0.7441,0.6205,458.05
2025-02,TikTok Shop,0.1579,0.1218,0.7294,0.6603,0.6639,0.7816,343.46
2025-02,Walmart,0.1586,0.1409,0.6579,0.7204,0.7272,0.5961,297.32
2025-03,Amazon,0.1807,0.1671,0.6267,0.8092,0.7324,0.6506,462.85
2025-03,B2B,0.2126,0.2991,0.8219,0.6873,0.8557,0.4487,561.91
2025-03,DTC,0.1846,0.2751,0.7016,0.7107,0.7732,0.6445,513.02
2025-03,TikTok Shop,0.1575,0.1213,0.7475,0.6911,0.6358,0.7399,378.98
2025-03,Walmart,0.1562,0.1644,0.6151,0.7432,0.7108,0.6007,323.41
2025-04,Amazon,0.1710,0.1674,0.6463,0.7581,0.7079,0.6586,509.66
2025-04,B2B,0.1982,0.3040,0.8131,0.6856,0.8521,0.4730,629.34
2025-04,DTC,0.1803,0.2667,0.6567,0.7361,0.7612,0.6663,574.58
2025-04,TikTok Shop,0.1591,0.1415,0.7301,0.7193,0.6581,0.7960,424.46
2025-04,Walmart,0.1699,0.1522,0.6576,0.7056,0.7042,0.5953,348.45
2025-05,Amazon,0.1714,0.1671,0.6331,0.7622,0.7288,0.6711,562.16
2025-05,B2B,0.1983,0.3140,0.8099,0.7230,0.8329,0.4219,704.86
2025-05,DTC,0.1813,0.2640,0.6607,0.7648,0.7782,0.6539,643.53
2025-05,TikTok Shop,0.1633,0.1406,0.7203,0.7098,0.6574,0.8318,474.43
2025-05,Walmart,0.1696,0.1532,0.6419,0.7255,0.7251,0.5665,379.79
2025-06,Amazon,0.1851,0.1759,0.5955,0.7754,0.7186,0.6503,622.63
2025-06,B2B,0.2166,0.2978,0.8131,0.7030,0.8549,0.4407,789.44
2025-06,DTC,0.1892,0.2551,0.6958,0.7424,0.7769,0.6724,720.75
2025-06,TikTok Shop,0.1615,0.1283,0.7048,0.6983,0.6656,0.8017,524.60
2025-06,Walmart,0.1644,0.1480,0.6172,0.7116,0.6985,0.5829,410.54
2025-07,Amazon,0.1807,0.1599,0.6345,0.7831,0.7233,0.6508,679.57
2025-07,B2B,0.2153,0.3003,0.8274,0.7049,0.8550,0.4406,884.17
2025-07,DTC,0.1845,0.2526,0.7057,0.7627,0.7776,0.6546,807.24
2025-07,TikTok Shop,0.1585,0.1243,0.7071,0.6763,0.6468,0.8032,568.60
2025-07,Walmart,0.1637,0.1485,0.6391,0.7435,0.7326,0.5820,443.59
2025-08,Amazon,0.1867,0.1806,0.6227,0.7701,0.7313,0.6618,745.23
2025-08,B2B,0.2047,0.3025,0.8152,0.7099,0.8340,0.4119,990.27
2025-08,DTC,0.1966,0.2819,0.6551,0.7092,0.7507,0.6508,904.11
2025-08,TikTok Shop,0.1586,0.1443,0.7324,0.6339,0.6504,0.7634,619.32
2025-08,Walmart,0.1630,0.1493,0.6236,0.6808,0.6939,0.5827,471.12
2025-09,Amazon,0.1762,0.1820,0.6378,0.7716,0.7408,0.6668,821.91
2025-09,B2B,0.2069,0.3116,0.8126,0.6773,0.8279,0.4151,1109.10
