month,next_month,selected_categories,strategy_return,benchmark_return,excess_return
2024-04,2024-05,DTC|Amazon,0.13,0.1168,0.0132
2024-05,2024-06,Amazon|DTC,0.1209,0.1153,0.0057
2024-06,2024-07,Amazon|DTC,0.1197,0.1095,0.0102
2024-07,2024-08,Amazon|DTC,0.13,0.1161,0.0139
2024-08,2024-09,Amazon|DTC,0.1221,0.1098,0.0123
2024-09,2024-10,DTC|Amazon,0.1213,0.1163,0.0051
2024-10,2024-11,Amazon|DTC,0.13,0.1217,0.0083
2024-11,2024-12,Amazon|DTC,0.1268,0.1125,0.0143
2024-12,2025-01,DTC|Amazon,0.1241,0.1172,0.0069
2025-01,2025-02,DTC|Amazon,0.1263,0.1124,0.0139
2025-02,2025-03,Amazon|DTC,0.13,0.1206,0.0094
2025-03,2025-04,Amazon|DTC,0.1295,0.1218,0.0078
2025-04,2025-05,Amazon|DTC,0.13,0.1252,0.0048
2025-05,2025-06,DTC|Amazon,0.13,0.1183,0.0117
2025-06,2025-07,DTC|Amazon,0.1228,0.1093,0.0136
2025-07,2025-08,DTC|Amazon,0.1281,0.1101,0.018
2025-08,2025-09,Amazon|DTC,0.1296,0.1263,0.0033
2025-09,2025-10,Amazon|DTC,0.13,0.1199,0.0101
2025-10,2025-11,DTC|Amazon,0.13,0.1183,0.0117
2025-11,2025-12,Amazon|TikTok Shop,0.1242,0.1198,0.0045
