month,channel,operating_health,growth_leverage,margin_protection,inventory_readiness,incrementality,alert_relief,realized_operating_index
2024-01,Amazon,0.7184,0.5729,0.7279,0.8061,0.5736,0.6778,116.00
2024-01,DTC,0.6970,0.6315,0.7065,0.7234,0.6818,0.6441,113.00
2024-01,TikTok Shop,0.6286,0.7515,0.6133,0.6790,0.7580,0.5244,109.00
2024-01,Walmart,0.6163,0.5536,0.6939,0.6916,0.6171,0.6409,105.00
2024-02,Amazon,0.7252,0.6084,0.7314,0.7558,0.5686,0.6739,129.74
2024-02,DTC,0.7106,0.6352,0.7153,0.7118,0.6579,0.6304,125.63
2024-02,TikTok Shop,0.6258,0.7137,0.6014,0.6416,0.7534,0.5691,121.77
2024-02,Walmart,0.6391,0.5330,0.6827,0.7027,0.6033,0.6909,113.24
2024-03,Amazon,0.7235,0.6004,0.7790,0.7559,0.5691,0.6671,146.60
2024-03,DTC,0.6769,0.6690,0.7227,0.7232,0.6785,0.6548,140.61
2024-03,TikTok Shop,0.6010,0.7385,0.6240,0.6889,0.7658,0.5751,134.56
2024-03,Walmart,0.6546,0.5799,0.6751,0.6949,0.5900,0.6732,124.59
2024-04,Amazon,0.7004,0.6014,0.7469,0.7753,0.5649,0.6600,165.25
2024-04,DTC,0.7083,0.7019,0.7104,0.7193,0.6989,0.6169,158.89
2024-04,TikTok Shop,0.6365,0.7407,0.6578,0.6459,0.7464,0.5348,150.92
2024-04,Walmart,0.6355,0.5990,0.7069,0.7291,0.6287,0.7060,136.81
2024-05,Amazon,0.7112,0.6417,0.7530,0.7530,0.6030,0.7069,186.73
2024-05,DTC,0.6738,0.7108,0.7262,0.7584,0.6895,0.6329,179.55
2024-05,TikTok Shop,0.6047,0.7664,0.6307,0.6531,0.7718,0.5204,168.77
2024-05,Walmart,0.6200,0.5691,0.6676,0.7302,0.6212,0.6474,148.97
2024-06,Amazon,0.7363,0.6109,0.7300,0.7791,0.5657,0.6721,207.62
2024-06,DTC,0.6889,0.6631,0.7398,0.7471,0.6981,0.6362,202.89
2024-06,TikTok Shop,0.5901,0.7555,0.6323,0.6732,0.7821,0.5537,187.75
2024-06,Walmart,0.6583,0.5401,0.6964,0.7349,0.6007,0.6955,164.87
2024-07,Amazon,0.7099,0.6191,0.7359,0.7970,0.5798,0.6738,234.61
2024-07,DTC,0.6733,0.6437,0.7074,0.7148,0.6686,0.5981,225.09
2024-07,TikTok Shop,0.5945,0.7399,0.6198,0.6488,0.7894,0.5576,207.62
2024-07,Walmart,0.6264,0.5315,0.6787,0.7306,0.6449,0.6617,180.15
2024-08,Amazon,0.7418,0.5933,0.7631,0.7293,0.5738,0.7175,265.10
2024-08,DTC,0.7038,0.6519,0.7122,0.6926,0.6723,0.6649,254.36
2024-08,TikTok Shop,0.6075,0.7245,0.6241,0.6177,0.7554,0.5336,230.64
2024-08,Walmart,0.6258,0.5714,0.6976,0.6661,0.6376,0.6980,197.02
2024-09,Amazon,0.7201,0.6049,0.7234,0.7551,0.5861,0.7082,295.40
2024-09,DTC,0.7035,0.6403,0.7337,0.6898,0.6800,0.6692,287.42
2024-09,TikTok Shop,0.6269,0.7542,0.6369,0.6181,0.7784,0.5000,254.77
2024-09,Walmart,0.6291,0.5890,0.7070,0.6808,0.6224,0.6596,214.84
2024-10,Amazon,0.7420,0.5648,0.7311,0.7857,0.5968,0.6588,328.68
2024-10,DTC,0.7018,0.6711,0.7406,0.7566,0.6745,0.5926,324.79
2024-10,TikTok Shop,0.6155,0.7348,0.6393,0.6579,0.7751,0.5171,283.04
2024-10,Walmart,0.6411,0.5810,0.7093,0.6963,0.6510,0.6808,238.78
2024-11,Amazon,0.7395,0.6048,0.7557,0.7872,0.5860,0.6867,371.41
2024-11,DTC,0.6884,0.6727,0.7466,0.7626,0.6807,0.6424,367.01
2024-11,TikTok Shop,0.6401,0.7778,0.6102,0.6351,0.7808,0.5506,316.25
2024-11,Walmart,0.6604,0.5861,0.7040,0.7479,0.6185,0.6947,264.91
2024-12,Amazon,0.7427,0.5723,0.7630,0.7643,0.5868,0.6937,417.33
2024-12,DTC,0.7217,0.6575,0.7059,0.7248,0.6951,0.6110,414.72
2024-12,TikTok Shop,0.6369,0.7451,0.6404,0.6435,0.7670,0.5020,349.73
2024-12,Walmart,0.6502,0.5561,0.7039,0.7061,0.6496,0.6965,288.86
2025-01,Amazon,0.7128,0.6051,0.7244,0.7775,0.6189,0.7197,467.97
2025-01,DTC,0.7219,0.6540,0.7032,0.7699,0.6945,0.5973,467.37
2025-01,TikTok Shop,0.6208,0.7510,0.6044,0.6549,0.7905,0.5156,391.01
2025-01,Walmart,0.6711,0.5446,0.6879,0.7266,0.6279,0.6323,318.48
2025-02,Amazon,0.7087,0.5759,0.7760,0.8029,0.6150,0.6696,525.34
2025-02,DTC,0.6835,0.6676,0.7375,0.7353,0.6742,0.6205,528.13
2025-02,TikTok Shop,0.6227,0.7146,0.6394,0.6303,0.7985,0.5616,432.19
2025-02,Walmart,0.6371,0.5427,0.7079,0.7104,0.6550,0.6861,347.66
2025-03,Amazon,0.7407,0.6022,0.7567,0.8092,0.6057,0.6406,593.64
2025-03,DTC,0.7055,0.6883,0.7416,0.7107,0.7090,0.6445,596.79
2025-03,TikTok Shop,0.6203,0.7106,0.6575,0.6611,0.7655,0.5199,484.11
2025-03,Walmart,0.6295,0.5869,0.6651,0.7332,0.6374,0.6907,383.19
2025-04,Amazon,0.7150,0.6298,0.7763,0.7581,0.5808,0.6486,670.27
2025-04,DTC,0.6933,0.6985,0.6967,0.7361,0.6977,0.6663,674.37
2025-04,TikTok Shop,0.6228,0.7781,0.6401,0.6893,0.7948,0.5760,547.04
2025-04,Walmart,0.6623,0.5894,0.7076,0.6956,0.6261,0.6853,420.77
2025-05,Amazon,0.7146,0.6263,0.7631,0.7622,0.6087,0.6611,757.41
2025-05,DTC,0.6942,0.6900,0.7007,0.7648,0.7205,0.6139,762.04
2025-05,TikTok Shop,0.6316,0.7732,0.6303,0.6798,0.7944,0.5718,618.16
2025-05,Walmart,0.6601,0.5884,0.6919,0.7155,0.6543,0.6565,467.38
2025-06,Amazon,0.7473,0.6108,0.7255,0.7754,0.5928,0.6403,855.87
2025-06,DTC,0.7124,0.6392,0.7358,0.7424,0.7179,0.6324,861.11
2025-06,TikTok Shop,0.6257,0.7156,0.6148,0.6683,0.8073,0.5417,692.99
2025-06,Walmart,0.6455,0.5451,0.6672,0.7016,0.6250,0.6729,510.49
2025-07,Amazon,0.7349,0.5757,0.7645,0.7831,0.6024,0.6408,954.84
2025-07,DTC,0.6992,0.6312,0.7457,0.7627,0.7226,0.6146,973.05
2025-07,TikTok Shop,0.6167,0.7046,0.6171,0.6463,0.7870,0.5432,760.35
2025-07,Walmart,0.6423,0.5430,0.6891,0.7335,0.6698,0.6720,558.59
2025-08,Amazon,0.7482,0.6142,0.7527,0.7701,0.6121,0.6518,1075.41
2025-08,DTC,0.7279,0.6868,0.6951,0.7092,0.6865,0.6508,1099.55
2025-08,TikTok Shop,0.6156,0.7416,0.6424,0.6039,0.7934,0.5434,844.60
2025-08,Walmart,0.6390,0.5416,0.6736,0.6708,0.6237,0.6727,599.53
2025-09,Amazon,0.7204,0.6139,0.7678,0.7716,0.6299,0.6568,1215.22
2025-09,DTC,0.6914,0.6585,0.7230,0.6959,0.7286,0.6239,1241.63
2025-09,TikTok Shop,0.6153,0.7252,0.6543,0.6350,0.8098,0.5685,954.40
2025-09,Walmart,0.6837,0.5632,0.7018,0.6676,0.6684,0.6693,669.18
2025-10,Amazon,0.7111,0.6068,0.7730,0.7744,0.6180,0.6524,1373.19
2025-10,DTC,0.7130,0.6738,0.7021,0.7287,0.7368,0.6420,1403.04
2025-10,TikTok Shop,0.6250,0.7004,0.6211,0.6752,0.8197,0.5763,1069.92
2025-10,Walmart,0.6647,0.5582,0.6864,0.7011,0.6296,0.7053,735.11
2025-11,Amazon,0.7502,0.6486,0.7686,0.8029,0.5902,0.6989,1551.71
2025-11,DTC,0.7129,0.6673,0.7035,0.7303,0.7184,0.6084,1585.44
2025-11,TikTok Shop,0.6444,0.7628,0.6362,0.6432,0.7900,0.5349,1190.11
2025-11,Walmart,0.6781,0.5840,0.6644,0.7278,0.6317,0.6419,809.37
2025-12,Amazon,0.7545,0.6081,0.7718,0.7986,0.6043,0.7030,1753.43
2025-12,DTC,0.6915,0.6679,0.7037,0.7643,0.7340,0.5957,1791.55
2025-12,TikTok Shop,0.6248,0.7407,0.6243,0.6399,0.8044,0.5102,1331.11
2025-12,Walmart,0.6532,0.5896,0.6671,0.7359,0.6613,0.6933,890.80
