month,category,top_sku_share,sweet_spot_share,whitespace_score,negative_review_rate,median_lifetime_days,exit_risk,discount_depth,gmv_index
2024-01,camping_gear,0.4289,0.3210,0.1002,0.1573,85.61,0.2167,0.1010,116.00
2024-01,car_parts,0.5325,0.3254,0.0785,0.1762,82.09,0.2006,0.1032,111.00
2024-01,cigar_accessories,0.6333,0.2717,0.0674,0.2232,73.77,0.2393,0.1313,108.00
2024-01,edc,0.4705,0.3467,0.1077,0.1339,84.27,0.1984,0.0888,114.00
2024-01,portable_generators,0.5670,0.3629,0.1146,0.1825,98.36,0.1807,0.1012,122.00
2024-02,camping_gear,0.4642,0.3421,0.1028,0.1754,86.38,0.2108,0.1092,116.88
2024-02,car_parts,0.5162,0.2977,0.0827,0.1711,83.11,0.2001,0.1091,111.19
2024-02,cigar_accessories,0.5976,0.2927,0.0694,0.2074,79.02,0.2289,0.1237,106.90
2024-02,edc,0.4881,0.3645,0.1143,0.1343,89.68,0.1880,0.0752,117.14
2024-02,portable_generators,0.5385,0.3772,0.1102,0.1816,97.25,0.1690,0.0859,126.09
2024-03,camping_gear,0.4335,0.3141,0.0901,0.1746,81.76,0.2283,0.1091,117.07
2024-03,car_parts,0.5093,0.3380,0.0830,0.1765,88.36,0.1838,0.1060,115.58
2024-03,cigar_accessories,0.6023,0.2630,0.0714,0.2103,73.52,0.2460,0.1219,105.59
2024-03,edc,0.4824,0.3556,0.1122,0.1386,87.54,0.1995,0.0878,120.88
2024-03,portable_generators,0.5606,0.3699,0.1251,0.1979,93.31,0.1875,0.0970,128.97
2024-04,camping_gear,0.4605,0.3658,0.0958,0.1684,81.98,0.2175,0.1179,121.03
2024-04,car_parts,0.5148,0.3258,0.0817,0.1827,89.43,0.1957,0.1074,117.59
2024-04,cigar_accessories,0.6177,0.2719,0.0527,0.2344,73.17,0.2470,0.1257,103.19
2024-04,edc,0.4611,0.3351,0.1149,0.1437,89.88,0.2048,0.0850,124.14
2024-04,portable_generators,0.5404,0.3965,0.1206,0.1778,95.57,0.1869,0.0934,134.23
2024-05,camping_gear,0.4389,0.3729,0.0854,0.1625,86.78,0.2218,0.1014,128.32
2024-05,car_parts,0.5413,0.3069,0.0964,0.1701,94.00,0.1761,0.0980,119.66
2024-05,cigar_accessories,0.6163,0.2853,0.0658,0.2282,74.57,0.2352,0.1294,100.53
2024-05,edc,0.4630,0.3392,0.1046,0.1323,92.55,0.2015,0.0715,126.85
2024-05,portable_generators,0.5683,0.3813,0.1374,0.1857,101.32,0.1802,0.0957,140.43
2024-06,camping_gear,0.4150,0.3597,0.0998,0.1638,85.28,0.2092,0.1166,135.00
2024-06,car_parts,0.5509,0.3096,0.0791,0.1737,90.38,0.1864,0.1034,120.50
2024-06,cigar_accessories,0.6101,0.2790,0.0682,0.2175,82.46,0.2265,0.1296,98.49
2024-06,edc,0.4825,0.3390,0.1222,0.1384,91.44,0.1990,0.0701,131.08
2024-06,portable_generators,0.5599,0.3874,0.1166,0.1818,99.89,0.1669,0.0874,143.88
2024-07,camping_gear,0.4399,0.3803,0.0971,0.1625,89.38,0.2203,0.1021,144.72
2024-07,car_parts,0.5163,0.2988,0.0937,0.1707,90.52,0.1902,0.0917,122.49
2024-07,cigar_accessories,0.5928,0.2663,0.0616,0.2086,81.56,0.2362,0.1183,96.09
2024-07,edc,0.4887,0.3358,0.1172,0.1313,99.78,0.1862,0.0710,134.49
2024-07,portable_generators,0.5441,0.3849,0.1258,0.1852,100.30,0.1702,0.1007,149.60
2024-08,camping_gear,0.4213,0.3542,0.1046,0.1532,88.56,0.2172,0.1005,151.53
2024-08,car_parts,0.5347,0.3212,0.0878,0.1755,97.50,0.1868,0.1012,123.05
2024-08,cigar_accessories,0.6036,0.2881,0.0819,0.2187,80.23,0.2245,0.1187,94.42
2024-08,edc,0.4918,0.3484,0.1277,0.1454,101.17,0.1871,0.0890,140.53
2024-08,portable_generators,0.5599,0.4002,0.1360,0.1789,103.19,0.1812,0.0950,160.87
2024-09,camping_gear,0.4585,0.3479,0.0918,0.1536,89.25,0.2200,0.1169,155.32
2024-09,car_parts,0.5237,0.3132,0.1009,0.1799,94.80,0.1817,0.1002,125.72
