experiment_id,date,variant,metric_name,exposures,conversions,value,ci_low,ci_high
EXP-001,2026-02-10,control,conversion_rate,2100,84,0.0400,0.0316,0.0484
EXP-001,2026-02-12,control,conversion_rate,2100,84,0.0400,0.0316,0.0484
EXP-001,2026-02-10,treatment,conversion_rate,2150,100,0.0465,0.0376,0.0554
EXP-001,2026-02-12,treatment,conversion_rate,2150,105,0.0488,0.0397,0.0579
EXP-003,2026-02-12,control,conversion_rate,2500,128,0.0512,0.0425,0.0599
EXP-003,2026-02-14,control,conversion_rate,2500,132,0.0528,0.0440,0.0616
EXP-003,2026-02-12,treatment,conversion_rate,2550,126,0.0494,0.0410,0.0578
EXP-003,2026-02-14,treatment,conversion_rate,2550,129,0.0506,0.0420,0.0592
EXP-004,2026-02-14,control,add_to_cart_rate,1800,205,0.1139,0.0992,0.1286
EXP-004,2026-02-16,control,add_to_cart_rate,1800,215,0.1194,0.1045,0.1343
EXP-004,2026-02-14,treatment,add_to_cart_rate,1775,244,0.1375,0.1215,0.1535
EXP-004,2026-02-16,treatment,add_to_cart_rate,1775,256,0.1442,0.1280,0.1604
EXP-005,2026-02-16,control,conversion_rate,1200,58,0.0483,0.0362,0.0604
EXP-005,2026-02-18,control,conversion_rate,1200,62,0.0517,0.0392,0.0642
EXP-005,2026-02-16,treatment,conversion_rate,1225,75,0.0612,0.0478,0.0746
EXP-005,2026-02-18,treatment,conversion_rate,1225,81,0.0661,0.0522,0.0800
EXP-006,2026-02-18,control,checkout_completion_rate,800,104,0.1300,0.1067,0.1533
EXP-006,2026-02-20,control,checkout_completion_rate,800,106,0.1325,0.1090,0.1560
EXP-006,2026-02-18,treatment,checkout_completion_rate,790,99,0.1253,0.1023,0.1483
EXP-006,2026-02-20,treatment,checkout_completion_rate,790,100,0.1266,0.1035,0.1497
