platform,listing_id,canonical_sku,brand,seller_id,captured_at,list_price,sale_price,currency,shipping_fee,rating_avg,review_count,sold_count_window,sales_rank,active_flag,seller_type,fulfillment_type
Amazon,B09NQJFRW6,B09NQJFRW6,Saucony,A2NEM58BFPMEIL,2023-08-08 00:00:00.000,0,57.79,USD,0,4.6,702,178,4502,true,reseller,unknown
Amazon,B0074TRKFI,B0074TRKFI,Kishigo,ATVPDKIKX0DER,2023-08-09 00:00:00.000,0,28.5,USD,0,4.6,916,75,80933,true,reseller,unknown
Amazon,B07V5LK5J3,B07V5LK5J3,TWINSLUXES,A32T2M1BDX55RN,2024-02-04 00:00:00.000,49.99,33.99,USD,0,4.2,3178,94,38723,true,reseller,unknown
Amazon,B00080QHMM,B00080QHMM,Accutire,A1J9XHX48UC47C,2024-06-09 00:00:00.000,1.79500000000000001,1.79500000000000001,USD,0,4.4,8034,400,4176,true,reseller,unknown
Amazon,B0CNZ6ZV14,B0CNZ6ZV14,SAURA LIFE SCIENCE,A2I00EBEBYMKDS,2024-01-16 00:00:00.000,1299,799,INR,0,5,5,169,5373,true,reseller,unknown
Amazon,B0BGSF52LR,B0BGSF52LR,KASOTT,A13TBHXCQKF5I1,2023-09-10 00:00:00.000,17.88,17.88,USD,0,4.3,67,87,48853,true,reseller,unknown
Amazon,B08XMPKJ1L,B08XMPKJ1L,Bio-Oil,ATVPDKIKX0DER,2024-04-01 00:00:00.000,39.24,24.95,USD,0,4.6,6095,1000,2871,true,reseller,unknown
Amazon,B0B8CP57MN,B0B8CP57MN,crysting,ASER3BNGLPVEW,2023-10-14 00:00:00.000,22.99,20.99,USD,0,4.6,210,102,29273,true,reseller,unknown
Amazon,B001HWGJAK,B001HWGJAK,RIDGID,A2I9G61XDT1RQW,2023-09-11 00:00:00.000,27.38,25.38,USD,0,4.4,28,44,483104,false,reseller,unknown
Amazon,B07PGY6STR,B07PGY6STR,Core 10,ATVPDKIKX0DER,2023-08-09 00:00:00.000,28.4,23.92,USD,0,4.4,1538,160,6499,false,reseller,unknown
Amazon,B09S6R2M8V,B09S6R2M8V,Barney Butter,ATVPDKIKX0DER,2024-07-09 00:00:00.000,9.83000000000000000,0,USD,0,4.5,110,100,15466,true,reseller,unknown
Amazon,B0BK8QY1JB,B0BK8QY1JB,EKSA,A1TDAPB7TACUL0,2023-09-10 00:00:00.000,89.99,84.99,USD,0,4.1,2232,75,81878,true,reseller,unknown
Amazon,B00LMTKUU8,B00LMTKUU8,LOOGU,A335GI7462P31I,2024-01-15 00:00:00.000,13.99,11.19,GBP,0,4.6,900,100,30663,true,reseller,unknown
Amazon,B0CN8RQYDG,B0CN8RQYDG,PULOTE,A2RFUEQA0W0DW6,2024-07-09 00:00:00.000,4.49900000000000001,4.49900000000000001,USD,0,4.7,466,800,9980,true,reseller,unknown
Amazon,B001D2X9WU,B001D2X9WU,Stahlwille,ATVPDKIKX0DER,2023-09-11 00:00:00.000,149.95,141.1,USD,0,4.4,23,34,1136670,false,reseller,unknown
Amazon,B083S6S7VG,B083S6S7VG,Cell9102,A3OBINRC6M8YIT,2023-09-11 00:00:00.000,69.99,69.99,USD,0,4,316,94,37656,true,reseller,unknown
Amazon,B09YFS3TR9,B09YFS3TR9,General Tools,ATVPDKIKX0DER,2023-09-11 00:00:00.000,6.98,6.19,USD,0,4.1,24,41,606450,true,reseller,unknown
Amazon,B001PT6X8S,B001PT6X8S,DANIEL SMITH,ATVPDKIKX0DER,2023-05-30 00:00:00.000,18.64,13.52,USD,0,4.8,11,67,115744,false,reseller,unknown
Amazon,B09M99SBQ3,B09M99SBQ3,NZND,A1INVTZ6QC3RJ7,2023-08-03 00:00:00.000,13.98,13.98,USD,0,4.5,229,95,36798,true,brand_owner,unknown
Amazon,B07PX6QSH2,B07PX6QSH2,Braun,ATVPDKIKX0DER,2024-01-16 00:00:00.000,99.99,94.94,USD,0,4.3,1003,63,142164,true,reseller,unknown
Amazon,B0C1HSC43Y,B0C1HSC43Y,Aqua Select,A2N5I30GK5BT1C,2024-06-10 00:00:00.000,3.99990000000000002,3.99990000000000002,USD,0,3.5,56,100,30238,false,reseller,unknown
Amazon,B003HLZ3IS,B003HLZ3IS,Swanson,A3OLYSHHQKD02C,2022-09-19 00:00:00.000,13.99,12.80,USD,0,4.3,178,61,159272,false,reseller,unknown
Amazon,B0040AHYGY,B0040AHYGY,Dingo,A3PNM20FAKCQ5X,2023-10-04 00:00:00.000,159.95,144.95,USD,0,4.4,1369,62,150973,false,reseller,unknown
Amazon,B00O85SSK2,B00O85SSK2,Nature's Answer,ASEVS99O6FS73,2022-09-18 00:00:00.000,15.99,12.74,USD,0,4.7,192,68,110229,false,reseller,unknown
Amazon,B0BBFYRJCD,B0BBFYRJCD,FTL,A2O4TJG7P3SZMD,2023-10-07 00:00:00.000,15.99,12.99,USD,0,4.2,340,119,17255,true,brand_owner,unknown
Amazon,B0BTNL5FZK,B0BTNL5FZK,H HESHECEIN,A2B3F21QCE7PVV,2023-10-07 00:00:00.000,37.98,20.91,USD,0,3.8,9,46,414743,true,reseller,unknown
Amazon,B076LRJ528,B076LRJ528,Koolertron,A59OO3NF467ZG,2022-09-06 00:00:00.000,0,85.99,USD,0,4.2,295,145,8909,false,reseller,unknown
Amazon,B0CBLGHG1F,B0CBLGHG1F,Signature Fitness,ATVPDKIKX0DER,2024-04-29 00:00:00.000,9.99899999999999901,99.99,USD,0,4.4,1106,400,5157,true,reseller,unknown
